t  q  ell
0 0 0
0.0015 0 0.003
0.003 0 0.006
0.0045 0 0.009
0.006 0 0.012
0.0075 0 0.015
0.009 0 0.018
0.0105 0 0.021
0.012 0 0.024
0.0135 0 0.027
0.015 0 0.03
0.0165 0 0.033
0.018 0 0.036
0.0195 0 0.039
0.021 0 0.042
0.0225 0 0.045
0.024 0 0.048
0.0255 0 0.051
0.027 0 0.054
0.0285 0 0.057
0.03 0 0.06
0.0315 0 0.063
0.033 0 0.066
0.0345 0 0.069
0.036 0 0.072
0.0375 0 0.075
0.039 0 0.078
0.0405 0 0.081
0.042 0 0.084
0.0435 0 0.087
0.045 0 0.09
0.0465 0 0.093
0.048 0 0.096
0.0495 0 0.099
0.051 0 0.102
0.0525 0 0.105
0.054 0 0.108
0.0555 0 0.111
0.057 0 0.114
0.0585 0 0.117
0.06 0 0.12
0.0615 0 0.123
0.063 0 0.126
0.0645 0 0.129
0.066 0 0.132
0.0675 0 0.135
0.069 0 0.138
0.0705 0 0.141
0.072 0 0.144
0.0735 0 0.147
0.075 0 0.15
0.0765 0 0.153
0.078 0 0.156
0.0795 0 0.159
0.081 0 0.162
0.0825 0 0.165
0.084 0 0.168
0.0855 0 0.171
0.087 0 0.174
0.0885 0 0.177
0.09 0 0.18
0.0915 0 0.183
0.093 0 0.186
0.0945 0 0.189
0.096 0 0.192
0.0975 0 0.195
0.099 0 0.198
0.1005 0 0.201
0.102 0 0.204
0.1035 0 0.207
0.105 0 0.21
0.1065 0 0.213
0.108 0 0.216
0.1095 0 0.219
0.111 0 0.222
0.1125 0 0.225
0.114 0 0.228
0.1155 0 0.231
0.117 0 0.234
0.1185 0 0.237
0.12 0 0.24
0.1215 0 0.243
0.123 0 0.246
0.1245 0 0.249
0.126 0 0.252
0.1275 0 0.255
0.129 0 0.258
0.1305 0 0.261
0.132 0 0.264
0.1335 0 0.267
0.135 0 0.27
0.1365 0 0.273
0.138 0 0.276
0.1395 0 0.279
0.141 0 0.282
0.1425 0 0.285
0.144 0 0.288
0.1455 0 0.291
0.147 0 0.294
0.1485 0 0.297
0.15 0 0.3
0.1515 7.475000002e-05 0.3001495
0.153 0.000298 0.300596
0.1545 0.00066825 0.3013365
0.156 0.001184 0.3023680003
0.1575 0.00184375 0.303687501
0.159 0.002646 0.3052920031
0.1605 0.00358925 0.3071785077
0.162 0.004672 0.309344017
0.1635 0.00589275 0.3117855341
0.165 0.00725 0.3145000635
0.1665 0.00874225 0.3174846114
0.168 0.010368 0.3207361858
0.1695 0.01212575 0.3242517972
0.171 0.014014 0.3280284587
0.1725 0.01603125 0.3320631867
0.174 0.018176 0.3363530008
0.1755 0.02044675 0.3408949247
0.177 0.022842 0.3456859864
0.1785 0.02536025 0.3507232185
0.18 0.028 0.3560036588
0.1815 0.03075975 0.3615243508
0.183 0.033638 0.367282344
0.1845 0.03663325 0.3732746942
0.186 0.039744 0.379498464
0.1875 0.04296875 0.3859507235
0.189 0.046306 0.3926285503
0.1905 0.04975425 0.3995290302
0.192 0.053312 0.4066492572
0.1935 0.05697775 0.4139863344
0.195 0.06075 0.4215373738
0.1965 0.06462725 0.4292994973
0.198 0.068608 0.4372698363
0.1995 0.07269075 0.4454455326
0.201 0.076874 0.4538237383
0.2025 0.08115625 0.4624016164
0.204 0.085536 0.4711763409
0.2055 0.09001175 0.4801450968
0.207 0.094582 0.489305081
0.2085 0.09924525 0.4986535016
0.21 0.104 0.5081875787
0.2115 0.10884475 0.5179045446
0.213 0.113778 0.5278016432
0.2145 0.11879825 0.537876131
0.216 0.123904 0.5481252766
0.2175 0.12909375 0.558546361
0.219 0.134366 0.5691366774
0.2205 0.13971925 0.5798935314
0.222 0.145152 0.590814241
0.2235 0.15066275 0.6018961362
0.225 0.15625 0.6131365594
0.2265 0.16191225 0.624532865
0.228 0.167648 0.6360824193
0.2295 0.17345575 0.6477826003
0.231 0.179334 0.6596307976
0.2325 0.18528125 0.6716244121
0.234 0.191296 0.683760856
0.2355 0.19737675 0.6960375521
0.237 0.203522 0.7084519338
0.2385 0.20973025 0.7210014448
0.24 0.216 0.7336835386
0.2415 0.22232975 0.7464956781
0.243 0.228718 0.7594353354
0.2445 0.23516325 0.7724999912
0.246 0.241664 0.7856871346
0.2475 0.24821875 0.798994262
0.249 0.254826 0.8124188775
0.2505 0.26148425 0.8259584915
0.252 0.268192 0.8396106209
0.2535 0.27494775 0.853372788
0.255 0.28175 0.8672425201
0.2565 0.28859725 0.8812173489
0.258 0.295488 0.8952948098
0.2595 0.30242075 0.9094724414
0.261 0.309394 0.9237477845
0.2625 0.31640625 0.9381183818
0.264 0.323456 0.952581777
0.2655 0.33054175 0.9671355138
0.267 0.337662 0.9817771357
0.2685 0.34481525 0.9965041847
0.27 0.352 1.011314201
0.2715 0.35921475 1.026204721
0.273 0.366458 1.04117328
0.2745 0.37372825 1.056217405
0.276 0.381024 1.071334621
0.2775 0.38834375 1.086522445
0.279 0.395686 1.101778387
0.2805 0.40304925 1.11709995
0.282 0.410432 1.132484628
0.2835 0.41783275 1.147929904
0.285 0.42525 1.163433251
0.2865 0.43268225 1.178992131
0.288 0.440128 1.194603994
0.2895 0.44758575 1.210266275
0.291 0.455054 1.225976395
0.2925 0.46253125 1.241731761
0.294 0.470016 1.257529763
0.2955 0.47750675 1.273367773
0.297 0.485002 1.289243146
0.2985 0.49250025 1.305153218
0.3 0.5 1.321095305
0.3015 0.50749975 1.337066703
0.303 0.514998 1.353064682
0.3045 0.52249325 1.369086496
0.306 0.529984 1.385129369
0.3075 0.53746875 1.401190505
0.309 0.544946 1.41726708
0.3105 0.55241425 1.433356245
0.312 0.559872 1.449455123
0.3135 0.56731775 1.465560808
0.315 0.57475 1.481670369
0.3165 0.58216725 1.49778084
0.318 0.589568 1.513889227
0.3195 0.59695075 1.529992507
0.321 0.604314 1.546087619
0.3225 0.61165625 1.562171475
0.324 0.618976 1.578240949
0.3255 0.62627175 1.594292884
0.327 0.633542 1.610324085
0.3285 0.64078525 1.626331323
0.33 0.648 1.642311331
0.3315 0.65518475 1.658260808
0.333 0.662338 1.674176412
0.3345 0.66945825 1.690054764
0.336 0.676544 1.705892448
0.3375 0.68359375 1.721686006
0.339 0.690606 1.737431942
0.3405 0.69757925 1.753126721
0.342 0.704512 1.768766765
0.3435 0.71140275 1.784348457
0.345 0.71825 1.799868139
0.3465 0.72505225 1.815322111
0.348 0.731808 1.830706631
0.3495 0.73851575 1.846017916
0.351 0.745174 1.861252142
0.3525 0.75178125 1.876405442
0.354 0.758336 1.891473908
0.3555 0.76483675 1.906453589
0.357 0.771282 1.921340492
0.3585 0.77767025 1.936130584
0.36 0.784 1.95081979
0.3615 0.79026975 1.965403993
0.363 0.796478 1.979879035
0.3645 0.80262325 1.994240718
0.366 0.808704 2.008484804
0.3675 0.81471875 2.022607016
0.369 0.820666 2.036603035
0.3705 0.82654425 2.050468506
0.372 0.832352 2.064199035
0.3735 0.83808775 2.077790192
0.375 0.84375 2.09123751
0.3765 0.84933725 2.104536485
0.378 0.854848 2.11768258
0.3795 0.86028075 2.130671224
0.381 0.865634 2.143497813
0.3825 0.87090625 2.156157713
0.384 0.876096 2.168646257
0.3855 0.88120175 2.180958751
0.387 0.886222 2.193090472
0.3885 0.89115525 2.205036672
0.39 0.896 2.216792577
0.3915 0.90075475 2.22835339
0.393 0.905418 2.239714292
0.3945 0.90998825 2.250870445
0.396 0.914464 2.261816989
0.3975 0.91884375 2.272549052
0.399 0.923126 2.283061745
0.4005 0.92730925 2.293350164
0.402 0.931392 2.303409399
0.4035 0.93537275 2.313234526
0.405 0.93925 2.322820618
0.4065 0.94302225 2.332162741
0.408 0.946688 2.341255961
0.4095 0.95024575 2.350095341
0.411 0.953694 2.358675948
0.4125 0.95703125 2.366992854
0.414 0.960256 2.375041138
0.4155 0.96336675 2.382815886
0.417 0.966362 2.3903122
0.4185 0.96924025 2.397525193
0.42 0.972 2.404449999
0.4215 0.97463975 2.411081769
0.423 0.977158 2.417415679
0.4245 0.97955325 2.423446928
0.426 0.981824 2.429170745
0.4275 0.98396875 2.43458239
0.429 0.985986 2.439677156
0.4305 0.98787425 2.444450373
0.432 0.989632 2.448897412
0.4335 0.99125775 2.453013684
0.435 0.99275 2.456794647
0.4365 0.99410725 2.460235807
0.438 0.995328 2.463332721
0.4395 0.99641075 2.466080999
0.441 0.997354 2.468476311
0.4425 0.99815625 2.470514385
0.444 0.998816 2.472191009
0.4455 0.99933175 2.473502042
0.447 0.999702 2.474443408
0.4485 0.99992525 2.475011102
0.45 1 2.475201194
0.4515 1 2.466201194
0.453 1 2.457201194
0.4545 1 2.448201194
0.456 1 2.439201194
0.4575 1 2.430201194
0.459 1 2.421201194
0.4605 1 2.412201194
0.462 1 2.403201194
0.4635 1 2.394201194
0.465 1 2.385201194
0.4665 1 2.376201194
0.468 1 2.367201194
0.4695 1 2.358201194
0.471 1 2.349201194
0.4725 1 2.340201194
0.474 1 2.331201194
0.4755 1 2.322201194
0.477 1 2.313201194
0.4785 1 2.304201194
0.48 1 2.295201194
0.4815 1 2.286201194
0.483 1 2.277201194
0.4845 1 2.268201194
0.486 1 2.259201194
0.4875 1 2.250201194
0.489 1 2.241201194
0.4905 1 2.232201194
0.492 1 2.223201194
0.4935 1 2.214201194
0.495 1 2.205201194
0.4965 1 2.196201194
0.498 1 2.187201194
0.4995 1 2.178201194
0.501 1 2.169201194
0.5025 1 2.160201194
0.504 1 2.151201194
0.5055 1 2.142201194
0.507 1 2.133201194
0.5085 1 2.124201194
0.51 1 2.115201194
0.5115 1 2.106201194
0.513 1 2.097201194
0.5145 1 2.088201194
0.516 1 2.079201194
0.5175 1 2.070201194
0.519 1 2.061201194
0.5205 1 2.052201194
0.522 1 2.043201194
0.5235 1 2.034201194
0.525 1 2.025201194
0.5265 1 2.016201194
0.528 1 2.007201194
0.5295 1 1.998201194
0.531 1 1.989201194
0.5325 1 1.980201194
0.534 1 1.971201194
0.5355 1 1.962201194
0.537 1 1.953201194
0.5385 1 1.944201194
0.54 1 1.935201194
0.5415 1 1.926201194
0.543 1 1.917201194
0.5445 1 1.908201194
0.546 1 1.899201194
0.5475 1 1.890201194
0.549 1 1.881201194
0.5505 0.9999916759 1.875180025
0.552 0.9998672593 1.874863634
0.5535 0.9995948426 1.874170942
0.555 0.9991759259 1.873105906
0.5565 0.9986120093 1.871672553
0.558 0.9979045926 1.869874981
0.5595 0.9970551759 1.867717358
0.561 0.9960652593 1.865203912
0.5625 0.9949363426 1.862338938
0.564 0.9936699259 1.859126785
0.5655 0.9922675093 1.855571861
0.567 0.9907305926 1.851678626
0.5685 0.9890606759 1.847451592
0.57 0.9872592593 1.842895315
0.5715 0.9853278426 1.838014398
0.573 0.9832679259 1.832813485
0.5745 0.9810810093 1.827297258
0.576 0.9787685926 1.821470435
0.5775 0.9763321759 1.815337768
0.579 0.9737732593 1.808904037
0.5805 0.9710933426 1.802174051
0.582 0.9682939259 1.795152643
0.5835 0.9653765093 1.787844667
0.585 0.9623425926 1.780254999
0.5865 0.9591936759 1.772388527
0.588 0.9559312593 1.764250157
0.5895 0.9525568426 1.755844803
0.591 0.9490719259 1.74717739
0.5925 0.9454780093 1.738252848
0.594 0.9417765926 1.729076113
0.5955 0.9379691759 1.719652118
0.597 0.9340572593 1.7099858
0.5985 0.9300423426 1.700082089
0.6 0.9259259259 1.689945913
0.6015 0.9217095093 1.679582191
0.603 0.9173945926 1.668995831
0.6045 0.9129826759 1.658191731
0.606 0.9084752593 1.647174777
0.6075 0.9038738426 1.635949836
0.609 0.8991799259 1.62452176
0.6105 0.8943950093 1.612895382
0.612 0.8895205926 1.601075513
0.6135 0.8845581759 1.589066943
0.615 0.8795092593 1.576874438
0.6165 0.8743753426 1.564502737
0.618 0.8691579259 1.551956555
0.6195 0.8638585093 1.539240575
0.621 0.8584785926 1.526359454
0.6225 0.8530196759 1.513317816
0.624 0.8474832593 1.500120255
0.6255 0.8418708426 1.48677133
0.627 0.8361839259 1.473275568
0.6285 0.8304240093 1.459637458
0.63 0.8245925926 1.445861458
0.6315 0.8186911759 1.431951984
0.633 0.8127212593 1.417913419
0.6345 0.8066843426 1.403750105
0.636 0.8005819259 1.389466347
0.6375 0.7944155093 1.375066408
0.639 0.7881865926 1.360554515
0.6405 0.7818966759 1.345934851
0.642 0.7755472593 1.331211561
0.6435 0.7691398426 1.316388748
0.645 0.7626759259 1.301470472
0.6465 0.7561570093 1.286460755
0.648 0.7495845926 1.271363574
0.6495 0.7429601759 1.256182867
0.651 0.7362852593 1.240922527
0.6525 0.7295613426 1.225586407
0.654 0.7227899259 1.210178318
0.6555 0.7159725093 1.19470203
0.657 0.7091105926 1.179161269
0.6585 0.7022056759 1.163559721
0.66 0.6952592593 1.147901032
0.6615 0.6882728426 1.132188806
0.663 0.6812479259 1.116426604
0.6645 0.6741860093 1.100617951
0.666 0.6670885926 1.084766329
0.6675 0.6599571759 1.068875182
0.669 0.6527932593 1.052947914
0.6705 0.6455983426 1.03698789
0.672 0.6383739259 1.02099844
0.6735 0.6311215093 1.004982854
0.675 0.6238425926 0.9889443845
0.6765 0.6165386759 0.9728862502
0.678 0.6092112593 0.9568116327
0.6795 0.6018618426 0.9407236791
0.681 0.5944919259 0.9246255025
0.6825 0.5871030093 0.9085201824
0.684 0.5796965926 0.8924107656
0.6855 0.5722741759 0.876300267
0.687 0.5648372593 0.8601916705
0.6885 0.5573873426 0.8440879296
0.69 0.5499259259 0.8279919682
0.6915 0.5424545093 0.8119066817
0.693 0.5349745926 0.7958349377
0.6945 0.5274876759 0.7797795769
0.696 0.5199952593 0.7637434139
0.6975 0.5124988426 0.7477292381
0.699 0.5049999259 0.7317398147
0.7005 0.4975000093 0.7157778858
0.702 0.4900005926 0.6998461706
0.7035 0.4825031759 0.6839473674
0.705 0.4750092593 0.6680841534
0.7065 0.4675203426 0.6522591865
0.708 0.4600379259 0.6364751058
0.7095 0.4525635093 0.6207345325
0.711 0.4450985926 0.6050400714
0.7125 0.4376446759 0.5893943109
0.714 0.4302032593 0.5737998247
0.7155 0.4227758426 0.5582591726
0.717 0.4153639259 0.5427749011
0.7185 0.4079690093 0.5273495445
0.72 0.4005925926 0.511985626
0.7215 0.3932361759 0.4966856585
0.723 0.3859012593 0.4814521452
0.7245 0.3785893426 0.4662875811
0.726 0.3713019259 0.4511944532
0.7275 0.3640405093 0.436175242
0.729 0.3568065926 0.4212324218
0.7305 0.3496016759 0.4063684622
0.732 0.3424272593 0.3915858282
0.7335 0.3352848426 0.3768869817
